word,occurence,documents,samples
challenges,4,['text_files/doc1.txt'],"[""that's what abraham lincoln understood he had his doubts he had his defeats he had his setbacks but through his will and his words he moved a nation and helped free a people it is because of the millions who rallied to his cause that we are no longer divided north and south slave and free it is because men and women of every race from every walk of life continued to march for freedom long after lincoln was laid to rest that today we have the chance to face the challenges of this millennium together as one people as americans""]"
tells,4,['text_files/doc1.txt'],['but the life of a tall gangly self-made springfield lawyer tells us that a different future is possible']
faith,3,['text_files/doc1.txt'],['it was in these neighborhoods that i received the best education i ever had and where i learned the true meaning of my christian faith']
springfield,3,['text_files/doc1.txt'],['it was here in springfield where i saw all that is america converge farmers and teachers businessmen and laborers all of them with a story to tell all of them seeking a seat at the table all of them clamoring to be heard i made lasting friendships here friends that i see in the audience today']
working,3,['text_files/doc1.txt'],"[""that's why we were able to reform a death penalty system that was broken that's why we were able to give health insurance to children in need that's why we made the tax system more fair and just for working families and that's why we passed ethics reforms that the cynics said could never ever be passed""]"
families,3,['text_files/doc1.txt'],"[""that's why we were able to reform a death penalty system that was broken that's why we were able to give health insurance to children in need that's why we made the tax system more fair and just for working families and that's why we passed ethics reforms that the cynics said could never ever be passed""]"
washington,3,['text_files/doc1.txt'],"[""i recognize there is a certain presumptuousness a certain audacity to this announcement i know i haven't spent a lot of time learning the ways of washington but i've been there long enough to know that the ways of washington must change""]"
march,3,['text_files/doc1.txt'],"[""that's what abraham lincoln understood he had his doubts he had his defeats he had his setbacks but through his will and his words he moved a nation and helped free a people it is because of the millions who rallied to his cause that we are no longer divided north and south slave and free it is because men and women of every race from every walk of life continued to march for freedom long after lincoln was laid to rest that today we have the chance to face the challenges of this millennium together as one people as americans""]"
americans,3,['text_files/doc1.txt'],"[""that's what abraham lincoln understood he had his doubts he had his defeats he had his setbacks but through his will and his words he moved a nation and helped free a people it is because of the millions who rallied to his cause that we are no longer divided north and south slave and free it is because men and women of every race from every walk of life continued to march for freedom long after lincoln was laid to rest that today we have the chance to face the challenges of this millennium together as one people as americans""]"
lives,3,['text_files/doc1.txt'],"[""but washington has a long way to go and it won't be easy that's why we'll have to set priorities we'll have to make hard choices and although government will play a crucial role in bringing about the changes we need more money and programs alone will not get us where we need to go each of us in our own lives will have to accept responsibility for instilling an ethic of achievement in our children for adapting to a more competitive economy for strengthening our communities and sharing some measure of sacrifice so let us begin let us begin this hard work together let us transform this nation""]"
economy,3,['text_files/doc1.txt'],"[""but washington has a long way to go and it won't be easy that's why we'll have to set priorities we'll have to make hard choices and although government will play a crucial role in bringing about the changes we need more money and programs alone will not get us where we need to go each of us in our own lives will have to accept responsibility for instilling an ethic of achievement in our children for adapting to a more competitive economy for strengthening our communities and sharing some measure of sacrifice so let us begin let us begin this hard work together let us transform this nation""]"
finally,3,['text_files/doc1.txt'],"[""let's be the generation that finally tackles our health care crisis we can control costs by focusing on prevention by providing better treatment to the chronically ill and using technology to cut the bureaucracy let's be the generation that says right here right now that we will have universal health care in america by the end of the next president's first term""]"
opportunity,3,['text_files/doc1.txt'],"[""let's be the generation that finally frees america from the tyranny of oil we can harness homegrown alternative fuels like ethanol and spur the production of more fuel-efficient cars we can set up a system for capping greenhouse gases we can turn this crisis of global warming into a moment of opportunity for innovation and job creation and an incentive for businesses that will serve as a model for the world let's be the generation that makes future generations proud of what we did here""]"
campaign,3,['text_files/doc1.txt'],"[""that is why this campaign can't only be about me it must be about us it must be about what we can do together this campaign must be the occasion the vehicle of your hopes and your dreams it will take your time your energy and your advice to push us forward when we're doing right and to let us know when we're not this campaign has to be about reclaiming the meaning of citizenship restoring our sense of common purpose and realizing that few obstacles can withstand the power of millions of voices calling for change""]"
battle,3,['text_files/doc1.txt'],['as lincoln organized the forces arrayed against slavery he was heard to say of strange discordant and even hostile elements we gathered from the four winds and formed and fought to battle through']
who've,2,['text_files/doc1.txt'],"[""let me begin by saying thanks to all you who've traveled from far and wide to brave the cold today""]"
